"Selected police-reported crime and calls for service during the COVID-19 pandemic c 1 2 3 4"
"Frequency: Monthly"
"Table: 35-10-0169-01"
"Release date: 2021-09-21"
"Geography:"
""
""

,"Total, Selected police services 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Violations and calls for service","March 2019","April 2019","May 2019","June 2019","July 2019","August 2019","September 2019","October 2019","November 2019","December 2019","January 2020","February 2020","March 2020","April 2020","May 2020","June 2020","July 2020","August 2020","September 2020","October 2020","November 2020","December 2020","January 2021","February 2021","March 2021","April 2021","May 2021","June 2021","July 2021"
"Total assaults (levels 1, 2, 3)","15,191","16,148","17,059","17,929","18,003","17,537","16,768","16,105","15,356","15,636","15,102","14,803","14,723","12,829","15,114","16,364","18,252","16,669","15,241","14,277","12,811","12,355","13,016","11,559","12,400","13,969","15,672","16,139","16,901"
"Total sexual assaults (levels 1, 2, 3)","1,856","1,770","1,996","2,099","1,940","1,839","1,921","2,130","1,868","1,733","1,806","1,950","1,609","1,032","1,312","1,657","1,901","1,823","1,744","1,464","1,489","1,283","1,598","1,414","1,674","1,621","1,782","1,809","1,781"
"Assault against peace or public officer (level 1)","583","614","655","647","674","681","621","623","585","591","560","630","579","547","619","653","610","503","541","570","501","475","500","426","524","483","592","544","618"
"Uttering threats","3,589","3,637","4,022","3,863","3,837","3,824","3,874","3,766","3,704","3,402","3,390","3,205","3,418","3,022","3,544","3,801","4,257","3,762","3,649","3,307","3,192","3,025","2,965","2,568","3,487","3,162","3,930","3,829","3,566"
"Total robbery","1,327","1,270","1,396","1,389","1,592","1,581","1,501","1,685","1,642","1,459","1,552","1,412","1,493","859","864","963","1,159","1,188","1,158","1,160","1,023","970","890","769","976","887","965","1,039","1,099"
"Dangerous operation, causing death or bodily harm","34","46","34","61","59","89","55","54","41","37","33","29","29","33","38","31","54","55","42","26","26","10","23","7","24","37","29","25","37"
"Impaired driving, causing death or bodily harm","26","54","54","48","55","50","39","43","44","49","39","48","32","25","36","36","43","39","37","22","26","21","21","9","22","24","44","41","52"
"Total breaking and entering","8,674","9,996","10,702","10,655","11,822","12,212","11,907","11,446","10,572","10,033","10,345","8,612","9,865","9,446","7,665","7,804","8,130","8,726","8,527","8,752","7,299","7,080","7,363","5,167","6,144","6,992","7,407","7,108","8,082"
"Motor vehicle theft","5,891","6,035","6,396","6,473","7,345","7,348","7,611","6,895","6,814","6,194","6,475","5,864","5,868","5,120","4,559","5,100","5,660","5,693","6,130","6,018","5,564","4,986","4,986","4,196","4,545","4,949","5,357","5,377","6,455"
"Shoplifting","9,930","9,015","9,347","8,711","8,802","9,333","9,150","9,550","9,259","7,298","9,811","9,496","7,821","3,499","3,094","3,610","4,649","4,981","5,018","6,210","5,452","4,720","5,704","5,148","6,009","5,431","5,506","5,356","5,325"
"Fraud/identity theft/identity fraud","9,860","9,572","10,775","10,054","11,109","11,188","11,043","12,144","10,802","9,406","11,959","10,347","9,701","8,218","8,090","10,659","11,658","10,585","9,790","9,655","9,544","8,631","9,908","9,459","9,163","8,998","9,019","8,752","8,506"
"Fail to comply with order","8,251","7,683","8,166","8,372","8,573","8,730","7,838","7,632","7,428","7,495","7,227","7,321","6,362","5,898","6,400","6,878","7,449","7,265","7,093","7,022","7,377","7,228","7,692","6,804","7,639","8,545","8,632","8,458","8,621"
"Impaired driving, operating while impaired","5,466","5,247","5,687","6,486","6,696","6,871","5,540","5,314","5,175","5,287","4,190","4,605","4,220","3,717","5,158","5,787","6,630","6,149","5,496","4,964","4,270","4,089","3,577","3,070","3,302","3,967","4,614","4,872","5,459"
"Provincial/Territorial acts related to COVID-19","..","..","..","..","..","..","..","..","..","..","..","..","1,351","4,734","3,317","2,248","2,653","2,530","3,016","3,018","3,787","5,738","5,622","3,383","1,962","4,790","7,761","3,396","2,164"
"Calls for service, domestic disturbances / disputes","9,067","8,911","9,707","10,232","10,835","10,485","9,644","9,163","8,948","9,456","9,403","8,835","10,179","10,160","10,911","11,023","11,693","11,168","9,912","9,792","8,791","9,488","9,520","8,394","9,541","9,417","10,195","10,198","10,706"
"Calls for service, Mental Health Act (MHA) apprehension","2,828","2,764","2,846","2,905","3,035","2,971","2,777","2,902","2,880","2,740","3,060","2,892","2,842","2,647","3,155","3,262","3,407","3,437","3,035","3,143","3,105","3,034","3,494","2,861","3,594","3,214","3,723","3,602","3,754"
"Calls for service, mental health - other","3,324","3,406","3,585","3,596","3,462","3,517","3,395","3,159","3,127","3,217","3,281","3,142","3,604","3,524","3,993","4,289","3,924","4,222","3,875","4,238","3,941","3,823","3,962","3,455","3,984","3,859","4,016","3,826","3,799"
"Calls for service, suicide/attempted suicide","3,004","2,935","3,121","2,815","2,902","2,808","2,778","2,787","2,823","2,691","2,722","2,530","2,879","2,504","2,844","2,539","2,793","2,789","2,748","2,687","2,635","2,622","2,716","2,483","2,837","2,640","2,779","2,832","2,799"
"Calls for service, overdose 5","570","547","591","577","443","413","380","420","422","334","427","526","519","512","545","461","538","525","601","616","613","502","581","575","593","560","622","667","762"
"Calls for service, child welfare check","42","53","46","45","64","43","43","44","35","39","42","38","50","50","43","76","67","65","44","46","47","40","50","59","54","59","66","58","79"
"Calls for service, check welfare - general","3,346","3,331","3,741","3,912","4,126","4,092","3,750","3,588","3,278","3,449","3,655","3,345","3,633","3,893","4,412","4,607","4,781","4,619","4,298","4,198","4,236","4,326","4,410","4,015","4,734","4,574","6,341","5,342","5,247"
"Calls for service, child custody matter - domestic","52","52","60","55","70","85","66","52","55","67","74","45","78","88","59","89","106","77","71","49","66","70","80","78","77","82","76","73","82"

Symbol legend:
.., not available for a specific reference period

"Table Corrections:"
Date,Note
"2021-04-01","On April 1, 2021, data for “Calls for service, mental health – other” from November 2019 and 2020, December 2019 and 2020, and January 2020 and 2021 for the Royal Newfoundland Constabulary were corrected. Additionally, data for “Calls for service, overdose”; “Calls for service, child welfare check”; and “Calls for service, child custody matter – domestic” for all reference periods for the Royal Newfoundland Constabulary were corrected to show as not available due to a lack of correspondence between the data reported and the selected categories."
"2020-09-10","On September 10, 2020, the data for June 2020 have been corrected for Winnipeg Police Service for assault and sexual assault violations and breakdowns."



Footnotes:
1,"The Canadian Centre for Justice and Community Safety Statistics (CCJCSS) is conducting a special survey collection from a sample of police services across Canada measuring the impact of COVID-19 on selected types of crimes and calls for service. In addition, counts of occurrences against provincial / territorial acts related to the containment of the COVID-19 pandemic were requested. Note that data for the selected violations in this table are preliminary and may differ from other data for the same reference years published from the Uniform Crime Reporting Survey as the collection processes differ. Previously published data may have been revised."
2,"Includes data reported by a sample of 19 police services across Canada for this release. At the time of this release, the Waterloo Regional Police Service was unable to provide violations data for the months of May, June and July 2021. Furthermore, the Montréal Police Service, Quebec Provincial Police, Royal Canadian Mounted Police, Edmonton Police Service and the Winnipeg Police Service were unable to provide calls for service data for all months. Additionally, some police services may not report data for every violation type or every call type in every month. Therefore, caution should be exercised when comparing monthly totals across police services."
3,"Calls for service (CFS) are defined as calls received by police services that are citizen-generated or officer initiated, and required the tasking of police resources (e.g., a call to a 9-1-1 emergency line that resulted in the dispatch of an officer). Calls for service information was reported for selected months by 14 police services."
4,"Some police services who provided calls for service information overall were not able to report for every call type. In addition, police services in some cases were unable to separate the call types as presented, and provided counts that combine one or more call type together. For example, calls for domestic disputes may include child welfare situations, and calls for other mental health may include some Mental Health Act (MHA) apprehensions. Interpret calls for service data with caution."
5,"Overdose counts do not reflect all overdose incidents occurring within police service boundaries as response is frequently by paramedics. Where police do not attend, the occurrence will not appear in police records."



"How to cite: Statistics Canada. Table 35-10-0169-01  Selected police-reported crime and calls for service during the COVID-19 pandemic"
https://www150.statcan.gc.ca/t1/tbl1/en/tv.action?pid=3510016901
